Orf;Name;Desc;"48hr VAN vs 48 hr NO ABX log2FC";"48hr VAN vs 48 hr NO ABX Adj. p-value";"48hr LZD vs 48 hr NO ABX log2FC";"48hr LZD vs 48 hr NO ABX Adj. p-value";"48hr CPT vs 48 hr NO ABX log2FC";"48hr CPT vs 48 hr NO ABX Adj. p-value";"48hr DEL vs 48 hr NO ABX log2FC";"48hr DEL vs 48 hr NO ABX Adj. p-value"
SAUSA300_RS00035;gyrA;DNA gyrase subunit A;-2;0.13008;-0.31;0.94065;0.32;1;-0.22;1
SAUSA300_RS00040;-;NAD(P)H-hydrate dehydratase;0.47;0.85259;0.05;1;0.51;0.32895;0.68;0.02692
SAUSA300_RS00045;hutH;histidine ammonia-lyase;0.37;0.98491;-0.07;1;-0.13;1;-0.09;1
SAUSA300_RS00055;-;AzlC family ABC transporter permease;0.14;1;0.21;0.91776;0.38;0.5947;0;1
SAUSA300_RS00060;-;AzlD domain-containing protein;-0.23;1;-0.5;0.91776;0.13;1;-0.42;1
SAUSA300_RS00065;-;alpha/beta fold hydrolase family protein;0.21;1;0.16;0.92903;0.04;1;0.04;1
SAUSA300_RS00070;-;YybS family protein;-0.37;0.85259;-0.15;0.95761;-0.31;0.61022;-0.3;0.67537
SAUSA300_RS00090;-;adenylosuccinate synthase;0.15;1;1.48;0;1.3;0;0.63;0.41336
SAUSA300_RS00115;yycH;two-component system activity regulator YycH;2.55;0.55111;2.01;0;1.74;0;2.06;0
SAUSA300_RS00120;yycI;two-component system regulatory protein YycI;1.81;0.21005;1.83;0;1.73;0;1.91;0
SAUSA300_RS00125;-;MBL fold metallo-hydrolase;-0.46;0.64902;-0.22;0.8264;-0.01;1;-0.29;0.62165
SAUSA300_RS00130;adsA;LPXTG-anchored adenosine synthase AdsA;-0.69;0.08306;-0.14;0.86942;-0.06;1;-0.02;1
SAUSA300_RS00135;rlmH;23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH;1.44;1;0.89;0.53236;0.55;0.92568;0.32;1
SAUSA300_RS00140;-;DUF3578 domain-containing protein;0.82;0.37932;0.56;0.09424;0.54;0.15057;0.47;0.20585
SAUSA300_RS00145;-;IS6 family transposase;0.14;1;-0.37;0.37268;-0.26;0.74561;-0.07;1
SAUSA300_RS00155;-;glycerophosphoryl diester phosphodiesterase;0.56;0.89432;0.26;0.78619;0.04;1;0.32;0.74492
SAUSA300_RS00160;-;MaoC family dehydratase;0.43;1;-0.22;1;-0.08;1;-0.2;1
SAUSA300_RS00165;mecA;PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA;0.47;0.42964;-0.05;1;0;1;0.01;1
SAUSA300_RS00170;-;beta-lactam sensor/signal transducer MecR1;0.33;0.63928;-0.18;0.53236;-0.04;1;-0.04;1
SAUSA300_RS00175;-;DUF3387 domain-containing protein;-0.54;0.89432;-0.32;0.89186;-0.01;1;-0.03;1
SAUSA300_RS00180;-;IS1182 family transposase;-0.12;1;-0.19;0.64282;0.07;1;-0.19;0.71063
SAUSA300_RS00185;-;DUF1643 domain-containing protein;-0.08;1;-0.37;0.8569;-0.37;0.87299;-0.55;0.52631
SAUSA300_RS00190;-;DUF960 family protein;1.88;0.18995;0.39;0.53236;0.41;0.5947;0.4;0.69663
SAUSA300_RS00195;-;SAUGI family uracil-DNA glycosylase inhibitor;0.84;0.42964;0.48;0.23843;0.59;0.16609;0.27;0.74492
SAUSA300_RS00200;-;recombinase family protein;0.13;1;0.01;1;-0.02;1;0.12;0.95383
SAUSA300_RS00205;-;recombinase family protein;0.27;0.95283;-0.03;1;0.07;1;-0.12;0.94334
SAUSA300_RS00210;-;DUF927 domain-containing protein;0.01;1;0.13;0.845;0.09;0.99975;0.09;1
SAUSA300_RS00215;-;hypothetical protein;0.63;0.89432;-0.12;1;-0.07;1;0.18;0.98454
SAUSA300_RS00220;-;hypothetical protein;-0.1;1;-0.06;1;0.08;1;0.01;1
SAUSA300_RS00225;-;putative DNA binding domain-containing protein;0.38;0.63928;0.03;1;0.14;0.92568;0.18;0.62165
SAUSA300_RS00235;cstB;persulfide dioxygenase-sulfurtransferase CstB;0.6;0.16135;0.15;0.63204;0.18;0.67522;0.18;0.56954
SAUSA300_RS00240;-;HNH endonuclease;0.12;1;-0.42;0.55275;-0.22;0.96469;-0.24;0.961
SAUSA300_RS00245;-;hypothetical protein;-0.13;1;0.11;0.99937;-0.25;0.87315;-0.18;0.94334
SAUSA300_RS00250;-;HNH endonuclease;0.53;0.54663;0.01;1;-0.03;1;-0.21;0.7329
SAUSA300_RS00255;-;hypothetical protein;1.18;0.79858;0.43;0.79712;0.44;0.8831;-0.25;1
SAUSA300_RS00260;-;hypothetical protein;-1.55;0.03765;-0.16;1;-0.35;0.96469;-0.21;1
SAUSA300_RS00265;-;hypothetical protein;-0.06;1;0.09;1;0.2;0.88965;0.32;0.53705
SAUSA300_RS00270;-;IS3 family transposase;0.43;0.76439;0.07;1;0.07;1;-0.17;0.75246
SAUSA300_RS00275;-;GNAT family N-acetyltransferase;0.23;1;-0.24;0.53236;0.06;1;-0.08;1
SAUSA300_RS00280;-;zinc-dependent alcohol dehydrogenase family protein;0.18;1;-0.09;1;0.04;1;-0.02;1
SAUSA300_RS00285;-;hypothetical protein;-0.52;0.91262;0.66;0.52664;0.36;0.8348;0.57;0.49866
SAUSA300_RS00290;-;DUF1643 domain-containing protein;0.29;1;0.18;0.98589;0.45;0.55732;0.14;0.99525
SAUSA300_RS00295;-;DUF960 family protein;0.61;0.91262;0.13;1;0.23;0.8831;-0.05;1
SAUSA300_RS00300;-;SAUGI family uracil-DNA glycosylase inhibitor;0.08;1;-0.33;0.52664;-0.23;0.88965;-0.16;0.98563
SAUSA300_RS00305;-;IS3 family transposase;-0.14;1;-0.11;0.97831;0.04;1;0.14;0.88532
SAUSA300_RS00310;arcC;carbamate kinase;0.24;1;-0.06;1;-0.07;1;-0.14;0.99525
SAUSA300_RS00315;argF;ornithine carbamoyltransferase;0.39;0.67203;0.19;0.77889;0.08;1;-0.1;1
SAUSA300_RS00320;-;Crp/Fnr family transcriptional regulator;0.28;0.99124;0;1;0.06;1;-0.01;1
SAUSA300_RS00325;arcD;arginine-ornithine antiporter;0.34;0.85259;0.12;0.81241;0.16;0.80514;0.21;0.60801
SAUSA300_RS00330;arcA;arginine deiminase;0.3;0.74329;-0.31;0.42174;-0.22;0.802;-0.35;0.38277
SAUSA300_RS00335;-;ArgR family transcriptional regulator;0.28;0.99946;-0.18;0.7068;-0.05;1;-0.14;0.79675
SAUSA300_RS00340;-;universal stress protein;0.44;0.99554;-0.09;1;0.11;1;0.19;1
SAUSA300_RS00355;-;alpha/beta hydrolase;0.36;0.85259;0.15;0.8327;0.27;0.63197;0.17;0.82127
SAUSA300_RS00360;-;IS110 family transposase;0.22;0.99946;0.26;0.52664;0.18;0.85164;0.25;0.7329
SAUSA300_RS00365;-;class I SAM-dependent methyltransferase;0.29;1;0.01;1;0.31;0.90823;0.05;1
SAUSA300_RS00370;-;ABC transporter substrate-binding protein;-0.11;1;-0.1;1;-0.03;1;-0.22;0.80885
SAUSA300_RS00375;-;ABC transporter permease;0.45;0.89432;0.02;1;0.23;0.94332;0.07;1
SAUSA300_RS00380;-;ABC transporter permease;0.25;1;0.01;1;-0.19;0.97418;-0.19;0.961
SAUSA300_RS00385;-;ATP-binding cassette domain-containing protein;-0.02;1;-0.02;1;-0.08;1;-0.1;1
SAUSA300_RS00390;-;ATP-binding cassette domain-containing protein;0.5;0.56282;-0.15;0.90175;-0.05;1;-0.09;1
SAUSA300_RS00395;-;copper-translocating P-type ATPase;0.59;0.34093;-0.01;1;0.17;0.89681;0.18;0.71684
