X-axis,Y-axis,Th FC,MF,Th sign,Tot,Quadrant1,Quadrant2,Quadrant3,Quadrant4
Cmpd8vsLor,Cmpd8_OxvsCmpd8,2,1.5,0.05,3177,428,1036,505,1208
Cmpd8vsLor,Cmpd8_OxvsLor,2,1.5,0.05,3180,1141,491,1062,486
Cmpd8vsLor,Lor_OxvsCmpd8,2,1.5,0.05,3167,387,1170,361,1249
Cmpd8vsLor,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3164,473,1067,473,1151
Cmpd8vsLor,Lor_OxvsLor,2,1.5,0.05,3164,684,871,679,930
Cmpd8vsLor,OxvsLor,2,1.5,0.05,3169,1148,503,1046,472
Cmpd8vsLor,OxvsUn,2,1.5,0.05,3163,679,809,732,943
Cmpd8vsUn,Cmpd8vsLor,2,1.5,0.05,3173,898,738,855,682
Cmpd8vsUn,Cmpd8_OxvsCmpd8,2,1.5,0.05,3173,696,764,829,884
Cmpd8vsUn,Cmpd8_OxvsLor,2,1.5,0.05,3172,888,744,854,686
Cmpd8vsUn,Cmpd8_OxvsOx,2,1.5,0.05,3170,1061,517,1082,510
Cmpd8vsUn,Cmpd8_OxvsUn,2,1.5,0.05,3183,1108,381,1229,465
Cmpd8vsUn,Lor_OxvsCmpd8,2,1.5,0.05,3167,711,846,741,869
Cmpd8vsUn,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3162,709,831,762,860
Cmpd8vsUn,Lor_OxvsLor,2,1.5,0.05,3158,771,785,807,795
Cmpd8vsUn,Lor_OxvsOx,2,1.5,0.05,3155,903,641,952,659
Cmpd8vsUn,Lor_OxvsUn,2,1.5,0.05,3168,960,558,1049,601
Cmpd8vsUn,OxvsCmpd8,2,1.5,0.05,3171,413,1114,477,1167
Cmpd8vsUn,OxvsLor,2,1.5,0.05,3165,615,1041,557,952
Cmpd8_OxvsCmpd8,Cmpd8_OxvsOx,2,1.5,0.05,3183,1012,580,1122,469
Cmpd8_OxvsCmpd8,Lor_OxvsCmpd8,2,1.5,0.05,3174,1108,456,1257,353
Cmpd8_OxvsCmpd8,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3178,823,722,975,658
Cmpd8_OxvsLor,Cmpd8vsUn,2,1.5,0.05,3172,888,686,854,744
Cmpd8_OxvsLor,Cmpd8_OxvsCmpd8,2,1.5,0.05,3185,936,545,991,713
Cmpd8_OxvsLor,Lor_OxvsCmpd8,2,1.5,0.05,3173,730,840,698,905
Cmpd8_OxvsLor,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3183,551,999,535,1098
Cmpd8_OxvsLor,Lor_OxvsLor,2,1.5,0.05,3175,927,639,911,698
Cmpd8_OxvsLor,OxvsLor,2,1.5,0.05,3179,1102,559,990,528
Cmpd8_OxvsLor,OxvsUn,2,1.5,0.05,3174,866,631,912,765
Cmpd8_OxvsOx,Cmpd8vsLor,2,1.5,0.05,3171,717,910,680,864
Cmpd8_OxvsOx,Cmpd8vsUn,2,1.5,0.05,3170,1061,510,1082,517
Cmpd8_OxvsOx,Cmpd8_OxvsCmpd8,2,1.5,0.05,3183,1012,469,1122,580
Cmpd8_OxvsOx,Cmpd8_OxvsLor,2,1.5,0.05,3190,961,688,910,631
Cmpd8_OxvsOx,Lor_OxvsCmpd8,2,1.5,0.05,3171,873,696,895,707
Cmpd8_OxvsOx,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3182,716,833,757,876
Cmpd8_OxvsOx,Lor_OxvsLor,2,1.5,0.05,3168,824,743,850,751
Cmpd8_OxvsOx,Lor_OxvsOx,2,1.5,0.05,3176,1105,449,1156,466
Cmpd8_OxvsOx,OxvsLor,2,1.5,0.05,3185,415,1260,352,1158
Cmpd8_OxvsUn,Cmpd8vsLor,2,1.5,0.05,3174,610,1020,661,883
Cmpd8_OxvsUn,Cmpd8_OxvsCmpd8,2,1.5,0.05,3185,1096,383,1294,412
Cmpd8_OxvsUn,Cmpd8_OxvsLor,2,1.5,0.05,3192,971,678,1006,537
Cmpd8_OxvsUn,Cmpd8_OxvsOx,2,1.5,0.05,3190,1166,426,1256,342
Cmpd8_OxvsUn,LorvsUn,2,1.5,0.05,3183,1107,402,1294,380
Cmpd8_OxvsUn,Lor_OxvsCmpd8,2,1.5,0.05,3171,948,619,1059,545
Cmpd8_OxvsUn,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3181,754,794,879,754
Cmpd8_OxvsUn,Lor_OxvsLor,2,1.5,0.05,3168,916,648,1031,573
Cmpd8_OxvsUn,Lor_OxvsOx,2,1.5,0.05,3168,1022,532,1145,469
Cmpd8_OxvsUn,Lor_OxvsUn,2,1.5,0.05,3178,1119,409,1284,366
Cmpd8_OxvsUn,OxvsCmpd8,2,1.5,0.05,3173,618,917,763,875
Cmpd8_OxvsUn,OxvsLor,2,1.5,0.05,3176,588,1076,608,904
LorvsUn,Cmpd8vsLor,2,1.5,0.05,3172,373,1249,409,1141
LorvsUn,Cmpd8vsUn,2,1.5,0.05,3175,1055,511,1163,446
LorvsUn,Cmpd8_OxvsCmpd8,2,1.5,0.05,3166,920,542,1119,585
LorvsUn,Cmpd8_OxvsLor,2,1.5,0.05,3179,570,1058,604,947
LorvsUn,Cmpd8_OxvsOx,2,1.5,0.05,3174,1027,549,1118,480
LorvsUn,Cmpd8_OxvsUn,2,1.5,0.05,3183,1107,380,1294,402
LorvsUn,Lor_OxvsCmpd8,2,1.5,0.05,3160,992,568,1092,508
LorvsUn,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3163,930,615,1044,574
LorvsUn,Lor_OxvsLor,2,1.5,0.05,3167,807,751,903,706
LorvsUn,Lor_OxvsOx,2,1.5,0.05,3159,1095,453,1207,404
LorvsUn,Lor_OxvsUn,2,1.5,0.05,3172,1145,377,1297,353
LorvsUn,OxvsCmpd8,2,1.5,0.05,3164,605,926,736,897
LorvsUn,OxvsLor,2,1.5,0.05,3173,362,1293,367,1151
Lor_OxvsCmpd8,LorvsUn,2,1.5,0.05,3160,992,508,1092,568
Lor_OxvsCmpd8,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3175,1294,268,1326,287
Lor_OxvsCmpd8,Lor_OxvsOx,2,1.5,0.05,3166,1240,324,1265,337
Lor_OxvsCmpd8,Lor_OxvsUn,2,1.5,0.05,3168,1289,249,1342,288
Lor_OxvsCmpd8,OxvsCmpd8,2,1.5,0.05,3169,945,580,1030,614
Lor_OxvsCmpd8_Ox,OxvsLor,2,1.5,0.05,3165,697,963,659,846
Lor_OxvsCmpd8_Ox,OxvsUn,2,1.5,0.05,3164,838,655,964,707
Lor_OxvsLor,Cmpd8_OxvsCmpd8,2,1.5,0.05,3161,986,477,1123,575
Lor_OxvsLor,Lor_OxvsCmpd8,2,1.5,0.05,3166,1279,299,1291,297
Lor_OxvsLor,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3170,1200,361,1232,377
Lor_OxvsLor,OxvsUn,2,1.5,0.05,3160,935,553,1046,626
Lor_OxvsOx,Cmpd8vsLor,2,1.5,0.05,3154,484,1135,473,1062
Lor_OxvsOx,Cmpd8_OxvsCmpd8,2,1.5,0.05,3161,984,481,1130,566
Lor_OxvsOx,Cmpd8_OxvsLor,2,1.5,0.05,3167,708,924,688,847
Lor_OxvsOx,Lor_OxvsCmpd8,2,1.5,0.05,3166,1240,337,1265,324
Lor_OxvsOx,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3173,1177,384,1223,389
Lor_OxvsOx,Lor_OxvsLor,2,1.5,0.05,3164,1137,438,1162,427
Lor_OxvsOx,OxvsLor,2,1.5,0.05,3169,444,1227,395,1103
Lor_OxvsUn,Cmpd8vsLor,2,1.5,0.05,3160,473,1150,489,1048
Lor_OxvsUn,Cmpd8_OxvsCmpd8,2,1.5,0.05,3161,1029,430,1207,495
Lor_OxvsUn,Cmpd8_OxvsLor,2,1.5,0.05,3171,754,875,765,777
Lor_OxvsUn,Cmpd8_OxvsOx,2,1.5,0.05,3170,966,607,1035,562
Lor_OxvsUn,Lor_OxvsCmpd8,2,1.5,0.05,3168,1289,288,1342,249
Lor_OxvsUn,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3170,1175,385,1245,365
Lor_OxvsUn,Lor_OxvsLor,2,1.5,0.05,3169,1201,374,1256,338
Lor_OxvsUn,Lor_OxvsOx,2,1.5,0.05,3169,1293,271,1359,246
Lor_OxvsUn,OxvsCmpd8,2,1.5,0.05,3159,757,772,865,765
Lor_OxvsUn,OxvsLor,2,1.5,0.05,3164,600,1059,581,924
OxvsCmpd8,Cmpd8vsLor,2,1.5,0.05,3170,652,984,660,874
OxvsCmpd8,Cmpd8_OxvsCmpd8,2,1.5,0.05,3174,859,602,1042,671
OxvsCmpd8,Cmpd8_OxvsLor,2,1.5,0.05,3173,805,830,807,731
OxvsCmpd8,Cmpd8_OxvsOx,2,1.5,0.05,3181,390,1182,451,1158
OxvsCmpd8,Lor_OxvsCmpd8,2,1.5,0.05,3169,945,614,1030,580
OxvsCmpd8,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3166,862,682,951,671
OxvsCmpd8,Lor_OxvsLor,2,1.5,0.05,3157,914,646,984,613
OxvsCmpd8,Lor_OxvsOx,2,1.5,0.05,3168,608,938,685,937
OxvsCmpd8,OxvsLor,2,1.5,0.05,3175,1176,496,1132,371
OxvsLor,Cmpd8vsLor,2,1.5,0.05,3169,1148,472,1046,503
OxvsLor,Cmpd8_OxvsCmpd8,2,1.5,0.05,3166,673,795,713,985
OxvsLor,Cmpd8_OxvsLor,2,1.5,0.05,3179,1102,528,990,559
OxvsLor,Lor_OxvsCmpd8,2,1.5,0.05,3161,707,855,647,952
OxvsLor,Lor_OxvsCmpd8_Ox,2,1.5,0.05,3165,697,846,659,963
OxvsLor,Lor_OxvsLor,2,1.5,0.05,3167,882,676,842,767
OxvsUn,Cmpd8vsLor,2,1.5,0.05,3163,679,943,732,809
OxvsUn,Cmpd8vsUn,2,1.5,0.05,3171,865,698,990,618
OxvsUn,Cmpd8_OxvsCmpd8,2,1.5,0.05,3164,863,601,1072,628
OxvsUn,Cmpd8_OxvsLor,2,1.5,0.05,3174,866,765,912,631
OxvsUn,Cmpd8_OxvsOx,2,1.5,0.05,3183,597,975,703,908
OxvsUn,Cmpd8_OxvsUn,2,1.5,0.05,3180,938,550,1138,554
OxvsUn,LorvsUn,2,1.5,0.05,3174,863,637,1051,623
