ID;Name;Decription;TSB_versus_Suc_log2FoldChange;TSB_versus_Suc_padj;TSB_versus_Lac_log2FoldChange;TSB_versus_Lac_padj;TSB_versus_Xyl_log2FoldChange;TSB_versus_Xyl_padj;TSB_versus_Glu_log2FoldChange;TSB_versus_Glu_padj
SMU_05;SMU_05;"Uncharacterized protein; Best Blastp Hit:  gb|AAC45338.1| (AF000658) ORFX [Streptococcus pneumoniae]";0.685664593;0.15059721;-0.33012137969205;0.495629625947587;-0.788823424;0.096980437;-0.009567704;0.987671577
SMU_06;ychF;"Ribosome-binding ATPase YchF; ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner";0.27511572;0.480822874;-0.478869027424024;0.125139833205714;-0.66592184;0.018356383;0.088298341;0.876532756
SMU_09;SMU_09;"Uncharacterized protein; Best Blastp Hit:  sp|P37557|YABO_BACSU HYPOTHETICAL 9.7 KDA PROTEIN IN MFD-DIVIC INTERGENIC REGION >gi|2127042|pir||S66089 conserved hypothetical protein yabO - Bacillus subtilis >gi|467448|dbj|BAA05294.1| (D26185) unknown [Bacillus subtilis] >gi|2632326|emb|CAB11835.1| (Z99104) similar to hypothetical proteins [Bacillus subtilis]";0.271988443;0.556909309;-0.798483363771306;0.0637123806496576;-1.013696868;0.036846775;-0.182574361;0.827344324
SMU_10;SMU_10;"Uncharacterized protein; Best Blastp Hit:  gb|AAC98903.1| (AF023181) DivIC homolog [Listeria monocytogenes]";0.076077839;0.875387213;-0.451040883965075;0.267962376609852;-0.817439637;0.030926687;-0.399804812;0.515044535
SMU_100;SMU_100;Best Blastp Hit:  gb|AAF24132.1|AF129168_5 (AF129168) EIIB sorbose-PTS homolog [Lactobacillus casei];0.301113175;0.702652919;-0.0153170079911435;0.982822499502928;1.158562453;0.076375392;-0.901784841;0.166142136
SMU_1000;SMU_1000;annotation not available;1.925578566;0.720647744;0.428514707735445;0.936674385913546;-0.771798461;0.848623084;2.949182334;NA
SMU_1006;SMU_1006;"Putative ABC transporter, ATP-binding protein; Best Blastp Hit:  gb|AAF99694.1|AF267498_4 (AF267498) ABC transporter OrfX [Streptococcus mutans]";2.193419616;1.03E-14;-2.03054060080068;6.22917150603832e-09;-1.702707021;3.99E-05;-0.056288201;0.918909479
SMU_1007;SMU_1007;"Putative ABC transporter, permease protein; Best Blastp Hit:  gb|AAF99695.1|AF267498_5 (AF267498) permease OrfY [Streptococcus mutans]";1.607426089;6.59E-24;-2.15868154163263;2.14152474682795e-16;-1.838667327;0.000473225;0.189993042;0.54879806
SMU_1008;SMU_1008;"Putative response regulator; Best Blastp Hit:  gb|AAD10258.1| (AF036964) putative response regulator [Lactobacillus sakei]";-0.370345953;0.262566424;0.660599599906729;0.0633123130175202;0.508635113;0.129280833;0.22444605;0.624091175
SMU_1009;SMU_1009;"Putative histidine kinase; Best Blastp Hit:  emb|CAB54567.1| (AJ006391) histidine kinase [Streptococcus pneumoniae]";-0.628763873;0.017602095;0.736228734898615;0.010302072010088;0.450380611;0.354870548;-0.349800706;0.323688338
SMU_101;SMU_101;Best Blastp Hit:  gb|AAF24133.1|AF129168_6 (AF129168) EIIC sorbose-PTS homlog [Lactobacillus casei];-0.184647618;0.759628105;0.162417932240683;0.803046831326779;2.055189082;5.85E-05;-0.762179911;0.217693599
SMU_1012c;SMU_1012c;"Putative transcriptional regulator; Best Blastp Hit:  sp|O05494|YDHC_BACSU HYPOTHETICAL TRANSCRIPTIONAL REGULATOR IN DINB-PHOB INTERGENIC REGION >gi|7475899|pir||G69783 transcription regulator GntR family homolog ydhC - Bacillus subtilis >gi|1945086|dbj|BAA19694.1| (D88802) B. subtilis gluconate operon repressor; P10585 (209) DNA binding [Bacillus subtilis] >gi|2632883|emb|CAB12389.1| (Z99107) similar to transcriptional regulator (GntR family) [Bacillus subtilis]";-0.863171377;0.004647546;1.46645362319188;4.60201627691967e-08;1.836716551;1.31E-12;-0.833183623;0.03460484
SMU_1013c;SMU_1013c;"Putative Mg2+/citrate transporter; Best Blastp Hit:  gb|AAG08853.1|AE004959_9 (AE004959) probable citrate transporter [Pseudomonas aeruginosa]";-0.318094326;0.186967508;0.999809973460581;1.65915853174889e-06;1.407205739;2.77E-09;-0.449879668;0.141870586
SMU_1014;SMU_1014;annotation not available;-1.312477126;0.000109818;0.811045227407773;0.00880164894578003;1.174838978;0.000697358;-0.300311942;0.503834261
SMU_1018;SMU_1018;annotation not available;-1.724959255;0.003062585;1.68731053537932;1.16138342842885e-06;1.803951794;4.42E-08;-0.442242855;0.408863955
SMU_102;SMU_102;"Putative PTS system, IID component; Best Blastp Hit:  gb|AAC44681.1| (U65015) PTS permease for mannose subunit IIBMan [Vibrio furnissii]";0.144392808;0.608221653;0.098920972589457;0.821984630061837;1.764124084;1.65E-11;-0.330794805;0.528733492
SMU_1024c;SMU_1024c;Best Blastp Hit:  pir||A33595 probable transposase - Streptococcus agalactiae insertion sequence IS861 >gi|1196922|gb|AAA88575.1| (M22449) unknown protein [Streptococcus agalactiae];-0.431851262;0.721117802;0.932594839149316;0.340977931112077;0.755367461;0.215746069;0.220553071;NA
