gene_id;OxvsUn_log2FoldChange;OxvsUn_padj;LorvsUn_log2FoldChange;LorvsUn_padj;Cmpd8vsUn_log2FoldChange;Cmpd8vsUn_padj;Cmpd8_OxvsUn_log2FoldChange;Cmpd8_OxvsUn_padj;Lor_OxvsUn_log2FoldChange;Lor_OxvsUn_padj;OxvsCmpd8_log2FoldChange;OxvsCmpd8_padj;Cmpd8_OxvsOx_log2FoldChange;Cmpd8_OxvsOx_padj;Lor_OxvsOx_log2FoldChange;Lor_OxvsOx_padj;OxvsLor_log2FoldChange;OxvsLor_padj;Cmpd8vsLor_log2FoldChange;Cmpd8vsLor_padj;Cmpd8_OxvsLor_log2FoldChange;Cmpd8_OxvsLor_padj;Lor_OxvsLor_log2FoldChange;Lor_OxvsLor_padj;Cmpd8_OxvsCmpd8_log2FoldChange;Cmpd8_OxvsCmpd8_padj;Lor_OxvsCmpd8_log2FoldChange;Lor_OxvsCmpd8_padj;Lor_OxvsCmpd8_Ox_log2FoldChange;Lor_OxvsCmpd8_Ox_padj;gene_name;gene_chr;gene_start;gene_end;gene_strand;gene_length;gene_biotype;gene_description;tf_family
SA_RS00145;0.112175366;0.998919387;-0.310207905;0.352780257;-0.044627122;0.999892985;-0.341952684;0.442839152;-0.377972732;0.223768639;0.155010304;0.999998795;-0.447628281;0.520783763;-0.490429036;0.191239804;0.42260521;0.381973918;0.266856265;0.644820126;-0.036391723;0.999777863;-0.079258627;0.889902433;-0.300040927;0.999670027;-0.336895186;0.349066666;-0.052836343;0.952526572;dnaA;NC_002745.2;517;1878;+;1362;protein_coding;chromosomal replication initiator protein DnaA && PF00308:Bacterial dnaA  protein|PF11638:DnaA N-terminal domain|PF08299:Bacterial dnaA protein helix-turn-helix;-
Novel00001;-0.357080794;1;-0.828050642;1;-0.379448806;0.999892985;-1.164539049;0.232483121;-0.375960495;1;0.024435138;0.999998795;-0.793156493;0.854741936;-0.013506599;1;0.470496409;1;0.447749666;1;-0.338142345;0.999777863;0.440938753;1;-0.783561123;0.999670027;0.002576304;1;0.768220826;1;Novel00001;NC_002745.2;1080;2047;-;968;-;PF08299:Bacterial dnaA protein helix-turn-helix|PF00308:Bacterial dnaA  protein;-
SA_RS00150;0.132207016;0.998919387;-0.405456658;0.060734523;-0.103129649;0.999892985;-0.248642359;0.414166068;-0.28121942;0.264370929;0.233949887;0.985175752;-0.374910983;0.299658604;-0.414969038;0.09727756;0.537503402;0.038972935;0.303085454;0.543709894;0.151229161;0.999777863;0.111871889;0.795049282;-0.14817153;0.999670027;-0.18162049;0.645093082;-0.049342903;0.933048626;dnaN;NC_002745.2;2156;3289;+;1134;protein_coding;DNA polymerase III subunit beta && PF00712:DNA polymerase III beta subunit, N-terminal domain|PF02768:DNA polymerase III beta subunit, C-terminal domain|PF02767:DNA polymerase III beta subunit, central domain;DNA_pol3_beta_2
Novel00002;-0.515357427;0.998919387;-0.857644788;0.362793402;-0.521919583;0.999892985;-0.564899596;0.676708255;-1.297160905;0.07661261;0.006629011;0.999998795;-0.039884076;0.998335204;-0.781244277;0.338842475;0.343006638;0.787620889;0.337321022;0.913170291;0.290274446;0.999777863;-0.451064234;1;-0.041937884;0.999670027;-0.775263766;0.370055516;-0.754273204;0.517270235;Novel00002;NC_002745.2;2716;3231;-;516;-;PF02768:DNA polymerase III beta subunit, C-terminal domain|PF02767:DNA polymerase III beta subunit, central domain;DNA_pol3_beta_2
SA_RS00155;0.049788561;0.998919387;0.054829974;0.958602611;-0.114818151;0.999892985;0.085577126;0.855089657;0.292503298;0.499132326;0.162183638;0.999998795;0.04344325;0.993095108;0.242361612;0.69227104;-0.006893043;0.994719491;-0.169745453;0.929951328;0.02439353;0.999777863;0.22535677;0.807675744;0.197890323;0.999670027;0.402773652;0.455110525;0.189758585;0.829977948;yaaA;NC_002745.2;3670;3915;+;246;protein_coding;S4 domain-containing protein YaaA && PF13275:S4 domain;-
SA_RS00160;0.017119072;0.998919387;-0.011634469;0.998245801;-0.035935329;0.999892985;-0.109694561;0.872065312;0.132611337;0.752845121;0.05253581;0.999998795;-0.120601456;0.989089165;0.115699907;0.857120896;0.028412278;0.978087201;-0.024182572;0.995832088;-0.103569308;0.999777863;0.132786296;0.825491052;-0.075864006;0.999670027;0.166790086;0.682262338;0.226456753;0.670384509;recF;NC_002745.2;3912;5024;+;1113;protein_coding;DNA replication/repair protein RecF && PF02463:RecF/RecN/SMC N terminal domain;SMC_N
SA_RS00165;-0.064301495;0.998919387;-0.127385643;0.743179313;0.039920051;0.999892985;-0.11964737;0.801845311;-0.173508985;0.542213766;-0.104824711;0.999998795;-0.049889558;0.989089165;-0.111103788;0.777390669;0.062489564;0.907469136;0.167585589;0.836045894;0.002124207;0.999777863;-0.058285928;0.920289812;-0.161785183;0.999670027;-0.216046827;0.508485469;-0.070408754;0.906435709;gyrB;NC_002745.2;5034;6968;+;1935;protein_coding;DNA topoisomerase (ATP-hydrolyzing) subunit B && PF01751:Toprim domain|PF00986:DNA gyrase B subunit, carboxyl terminus|PF00204:DNA gyrase B|PF02518:Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;DNA_gyraseB
SA_RS00170;-0.113814506;0.998919387;-0.300728484;0.448610694;-0.09125543;0.999892985;-0.314445248;0.503454577;-0.579583858;0.03060228;-0.023055389;0.999998795;-0.195022799;0.906710498;-0.467499367;0.104768227;0.185934988;0.745907243;0.209628118;0.836956926;-0.019602828;0.999777863;-0.292550357;0.488462306;-0.225605181;0.999670027;-0.491578468;0.089876531;-0.282379949;0.536133441;gyrA;NC_002745.2;7005;9674;+;2670;protein_coding;DNA gyrase subunit A && PF00521:DNA gyrase/topoisomerase IV, subunit A|PF03989:DNA gyrase C-terminal domain, beta-propeller;-
SA_RS00175;-0.230524314;0.998919387;0.032729507;0.992311694;0.376282652;0.999892985;0.222628968;0.898179255;-0.444362421;0.552628022;-0.60506949;0.783617703;0.45735389;0.885267695;-0.212583198;0.852364769;-0.262971922;0.746638054;0.34351598;0.849763006;0.187042493;0.999777863;-0.486866969;0.639680377;-0.154636937;0.999670027;-0.821641842;0.280601107;-0.682435508;0.586901859;nnrD;NC_002745.2;9762;10574;-;813;protein_coding;NAD(P)H-hydrate dehydratase && PF01256:Carbohydrate kinase;-
SA_RS00180;-0.269378763;0.998919387;-0.736257447;0.614907139;0.571163149;0.999892985;-0.005025519;0.998941958;-1.218328928;0.111337655;-0.840599604;0.892870231;0.273170412;0.98246411;-0.953682838;0.180496963;0.471282062;0.765787386;1.310028425;0.42537419;0.729847572;0.999777863;-0.490843633;0.729506579;-0.573314175;0.999670027;-1.786007507;0.018933865;-1.232339201;0.091462699;hutH;NC_002745.2;10900;12414;+;1515;protein_coding;histidine ammonia-lyase && PF00221:Aromatic amino acid lyase;-
SA_RS00185;-0.136826336;0.998919387;-0.136332149;0.90423556;0.207062045;0.999892985;-0.093901699;0.89834908;-0.932316135;0.000355547;-0.34412013;0.999998795;0.047736301;0.998335204;-0.798908389;0.067351646;0.001294865;0.998710365;0.345276474;0.831547606;0.036741071;0.999777863;-0.809923618;0.124105628;-0.303482914;0.91708671;-1.141916776;0.00000235;-0.855085912;0.0000643;serS;NC_002745.2;12793;14079;+;1287;protein_coding;serinetRNA ligase && PF02403:Seryl-tRNA synthetase N-terminal domain|PF00587:tRNA synthetase class II core domain (G, H, P, S and T);tRNA-synt_2b
SA_RS00190;-0.488289262;0.998919387;0.081795811;0.988568929;0.310955748;0.999892985;0.15076813;0.944622098;-0.22778051;0.823223731;-0.796908877;0.926787849;0.646142715;0.758123453;0.255736245;0.815776716;-0.567065224;0.672524266;0.230198756;0.976512139;0.066240192;0.999777863;-0.320429102;0.795049282;-0.157179998;0.999670027;-0.533052938;0.575798173;-0.397810475;0.656944276;ABD29201.1;NC_002745.2;14730;15425;+;696;protein_coding;AzlC family ABC transporter permease && PF03591:AzlC protein;-
SA_RS00195;-0.179678394;0.998919387;0.218123519;0.933695608;0.045131936;0.999892985;-0.124222436;0.955644053;-0.5350591;0.450171973;-0.220728395;0.999998795;0.060134648;0.998335204;-0.361540867;0.726728471;-0.393662265;0.818089862;-0.171453543;0.984697015;-0.347537297;0.999777863;-0.766331817;0.506039032;-0.167189864;0.999670027;-0.572845634;0.538916407;-0.425648186;0.754748053;ABD29202.1;NC_002745.2;15422;15751;+;330;protein_coding;AzlD domain-containing protein && PF05437:Branched-chain amino acid transport protein (AzlD);-
SA_RS00200;0.032330809;0.998919387;0.19735641;0.717354817;0.1953735;0.999892985;0.682900177;0.179164184;0.542213202;0.122276028;-0.161476629;0.999998795;0.655565856;0.355928937;0.506140725;0.204500606;-0.165093696;0.806754964;-0.002080599;0.999658797;0.477796682;0.98106377;0.33102074;0.561450947;0.486411062;0.999670027;0.34815153;0.488403579;-0.155778004;0.888537309;ABD29203.1;NC_002745.2;16114;17082;+;969;protein_coding;alpha/beta fold hydrolase family protein && PF00561:alpha/beta hydrolase fold;Abhydrolase_1
SA_RS00205;-0.151178847;0.998919387;0.193745902;0.496029363;0.180878249;0.999892985;0.211170847;0.497767365;0.348981855;0.245231609;-0.333184196;0.85107313;0.368948265;0.538044804;0.499877244;0.187854513;-0.346020664;0.485933447;-0.012630541;0.995832088;0.011284649;0.999777863;0.14302719;0.815772051;0.02811374;0.999670027;0.166024258;0.700666772;0.12229265;0.860574795;ABD29204.1;NC_002745.2;17375;18313;+;939;protein_coding;YybS family protein && PF09991:Predicted membrane protein (DUF2232);-
SA_RS00210;0.007573416;0.998919387;0.149362274;0.726064959;0.20339438;0.999892985;0.269625495;0.426229117;0.055969087;0.904211173;-0.196153565;0.999998795;0.267547771;0.617354508;0.046832889;0.946971247;-0.141920013;0.780456136;0.054563629;0.978319004;0.114125427;0.999777863;-0.105847474;0.845762534;0.063564534;0.999670027;-0.15020449;0.715200173;-0.229640125;0.572303203;gdpP;NC_002745.2;18328;20295;+;1968;protein_coding;cyclic-di-AMP phosphodiesterase GdpP && PF01368:DHH family|PF02272:DHHA1 domain;-
Novel00003;0.527759554;1;0.682705067;1;-0.703827835;1;0.644366714;1;-0.531196715;1;1.230472675;1;0.123302916;0.998335204;-1.056794917;1;-0.159429825;1;-1.38840977;1;-0.05315469;0.999777863;-1.229136159;1;1.342494423;1;0.161953522;1;-1.180077622;1;Novel00003;NC_002745.2;20283;21321;-;1039;-;PF03948:Ribosomal protein L9, C-terminal domain|PF01281:Ribosomal protein L9, N-terminal domain|PF00772:DnaB-like helicase N terminal domain;DnaB
SA_RS00215;0.157928281;0.998919387;0.329907851;0.579868445;0.155456648;0.999892985;0.163193927;0.723045108;0.21262245;0.512207875;0.001922994;0.999998795;0.011170809;0.998335204;0.052938647;0.943347714;-0.170155449;0.837720519;-0.172312305;0.929951328;-0.171925932;0.999777863;-0.129635409;0.888317522;0.005290067;0.999670027;0.055288563;0.917809004;0.033640891;0.965515511;rplI;NC_002745.2;20292;20738;+;447;protein_coding;50S ribosomal protein L9 && PF03948:Ribosomal protein L9, C-terminal domain|PF01281:Ribosomal protein L9, N-terminal domain;-
SA_RS00220;0.033675757;0.998919387;0.108039718;0.849971734;0.102015293;0.999892985;0.103200753;0.872065312;0.048804571;0.932157556;-0.068683236;0.999998795;0.07592957;0.989089165;0.014733995;0.991163805;-0.074527064;0.91765116;-0.005614798;0.999638153;-0.010178708;0.999777863;-0.07128914;0.932989291;-0.000954112;0.999670027;-0.055972484;0.93322382;-0.071144501;0.944552174;dnaB;NC_002745.2;20770;22170;+;1401;protein_coding;replicative DNA helicase && PF00772:DnaB-like helicase N terminal domain|PF03796:DnaB-like helicase C terminal domain;DnaB_C
Novel00004;-0.338295638;1;0.382509419;1;-0.223435674;0.999892985;-0.650466752;1;0.730351567;1;-0.111441825;1;-0.312000917;0.993095108;1.070915194;1;-0.726400869;1;-0.602495687;1;-1.056187962;0.999777863;0.339439218;1;-0.430921287;1;0.964487099;1;1.376840858;1;Novel00004;NC_002745.2;21599;22267;-;669;-;PF03796:DnaB-like helicase C terminal domain;DnaB_C
SA_RS00225;-0.105390321;0.998919387;0.408403041;0.645033519;0.090006489;0.999892985;0.462120183;0.592971899;0.340885733;0.554273592;-0.190740033;0.999998795;0.570976333;0.496098003;0.446967548;0.408415687;-0.509699411;0.520228884;-0.316858222;0.918978944;0.049295942;0.999777863;-0.075711712;0.951301258;0.371055563;0.999670027;0.255557208;0.791321921;-0.131961516;0.897078001;purA;NC_002745.2;22448;23731;+;1284;protein_coding;adenylosuccinate synthase && PF00709:Adenylosuccinate synthetase;-
SA_RS00230;2.596355702;1;3.624871182;1;3.141461233;1;1.850140526;1;2.791675107;1;-0.554691641;1;-0.73455843;1;0.17887017;1;-1.043320275;1;-0.513750025;1;-1.811152927;0.999777863;-0.899164184;1;-1.3094357;1;-0.38954461;1;0.913688219;1;unknown;NC_002745.2;24160;24234;+;75;protein_coding;tRNA-Glu && -;-
SA_RS00235;;;;;;;;;;;;;-0.192311393;1;0.058019582;1;;;;;;;;;;;;;0.24187276;1;unknown;NC_002745.2;24242;24314;+;73;protein_coding;tRNA-Asp && -;-
SA_RS00240;-0.034198422;0.998919387;0.087934168;0.902323075;0.296294688;0.713780078;0.277866389;0.495733215;0.319543263;0.330903327;-0.330724347;0.769492113;0.319632721;0.659068674;0.3535566;0.354916182;-0.123405964;0.866283231;0.207619437;0.849763006;0.184731385;0.999777863;0.220710162;0.719823199;-0.019035578;0.999670027;0.02224205;0.967824597;0.024344117;0.980142631;yycF;NC_002745.2;24934;25635;+;702;protein_coding;response regulator YycF && PF00072:Response regulator receiver domain|PF00486:Transcriptional regulatory protein, C terminal;Response_reg
SA_RS00245;0.001802855;0.998919387;0.019897201;0.995311103;0.196989002;0.999892985;0.126158798;0.840431494;-0.023691825;0.972554921;-0.196109858;0.999998795;0.131408859;0.987942738;-0.025267707;0.990198139;-0.019307309;0.989002158;0.17677925;0.9100357;0.100578066;0.999777863;-0.055907651;0.968129616;-0.072929228;0.999670027;-0.223897681;0.724528019;-0.166842956;0.878374911;walK;NC_002745.2;25648;27474;+;1827;protein_coding;cell wall metabolism sensor histidine kinase WalK && PF13426:PAS domain|PF02518:Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase|PF00512:His Kinase A (phospho-acceptor) domain|PF00672:HAMP domain;HATPase_c
Novel00005;0.073845294;1;0.59603291;1;1.633204732;1;-1.014002447;1;-1.716212667;1;-1.552063939;1;-1.064250669;1;-1.773346532;1;-0.519001705;1;1.039976681;1;-1.606280733;0.999777863;-2.319429004;1;-2.637132219;1;-3.343695003;1;;;Novel00005;NC_002745.2;26045;26377;-;333;-;PF00672:HAMP domain;HAMP
Novel00006;2.02319604;1;0.85173012;1;0.736004956;1;2.614942467;1;;;1.28245927;1;0.590126146;0.993095108;-2.814078423;1;1.174401994;1;-0.117027118;1;1.753628722;0.999777863;-1.643396499;1;1.877053982;1;-1.5076562;1;-3.386048672;1;Novel00006;NC_002745.2;26583;26891;-;309;-;PF00512:His Kinase A (phospho-acceptor) domain;HisKA
